,precision,recall,f1-score,support
A,0.9377049180327869,0.6085106382978723,0.7380645161290322,470.0
B,1.0,0.973741794310722,0.9866962305986696,457.0
C,0.9977272727272727,0.9887387387387387,0.9932126696832579,444.0
D,0.9976635514018691,0.9282608695652174,0.9617117117117117,460.0
E,0.6938775510204082,0.9778761061946902,0.8117539026629935,452.0
F,0.9810526315789474,1.0,0.9904357066950054,466.0
G,0.6915052160953801,0.9935760171306209,0.8154657293497364,467.0
H,1.0,0.586864406779661,0.739652870493992,472.0
I,0.6892307692307692,0.9933481152993349,0.8138056312443234,451.0
J,0.9950980392156863,0.9290617848970252,0.9609467455621302,437.0
K,0.9406593406593406,0.9953488372093023,0.9672316384180791,430.0
L,0.9336188436830836,0.990909090909091,0.9614112458654906,440.0
M,0.6635160680529301,0.7959183673469388,0.7237113402061855,441.0
N,1.0,0.6043956043956044,0.7534246575342466,455.0
O,0.9931350114416476,0.9623059866962306,0.9774774774774775,451.0
P,0.9309623430962343,0.9933035714285714,0.9611231101511879,448.0
Q,1.0,0.9313304721030042,0.9644444444444444,466.0
R,0.9042769857433809,0.9230769230769231,0.9135802469135802,481.0
S,0.7942238267148014,0.9128630705394191,0.8494208494208494,482.0
T,0.9612756264236902,0.9504504504504504,0.9558323895809739,444.0
U,0.959731543624161,0.6313465783664459,0.7616511318242344,453.0
V,0.9924812030075187,0.9020501138952164,0.9451073985680191,439.0
W,0.9749430523917996,0.9683257918552036,0.9716231555051078,442.0
X,0.945823927765237,0.918859649122807,0.932146829810901,456.0
Y,0.8927875243664717,0.9913419913419913,0.9394871794871795,462.0
Z,0.9899497487437185,0.9633251833740831,0.976456009913259,409.0
nothing,1.0,1.0,1.0,428.0
space,0.990632318501171,0.9679633867276888,0.9791666666666666,437.0
accuracy,0.9051424050632911,0.9051424050632911,0.9051424050632911,0.9051424050632911
macro avg,0.9232813326256537,0.9065390550018876,0.9051800530685263,12640.0
weighted avg,0.9225045237482334,0.9051424050632911,0.9038994747620719,12640.0
